fecha,CPIAUCSL,GDPC1,HOUST,RSAFS,T10Y2Y,UMCSENT,UNRATE,USREC
1992-01-01,138.3,10236.435,1176,159177,2.07,67.5,7.3,0
1992-02-01,138.6,10273.432999999999,1250,159189,2.13,68.8,7.4,0
1992-03-01,139.1,10310.431,1297,158647,1.86,76.0,7.4,0
1992-04-01,139.4,10347.429,1099,159921,2.14,77.2,7.4,0
1992-05-01,139.7,10381.510333333334,1214,160471,2.17,79.2,7.6,0
1992-06-01,140.1,10415.591666666667,1145,161205,2.21,80.4,7.8,0
1992-07-01,140.5,10449.673,1139,162855,2.49,76.6,7.7,0
1992-08-01,140.8,10485.998,1226,162412,2.39,76.1,7.6,0
1992-09-01,141.1,10522.323,1186,164361,2.52,75.6,7.6,0
1992-10-01,141.7,10558.648,1244,166063,2.51,73.3,7.3,0
1992-11-01,142.1,10564.523666666666,1214,166124,2.29,85.3,7.4,0
1992-12-01,142.3,10570.399333333333,1227,167691,2.1,91.0,7.4,0
1993-01-01,142.8,10576.275,1210,169500,2.21,89.3,7.3,0
1993-02-01,143.1,10596.798999999999,1210,168840,2.16,86.6,7.1,0
1993-03-01,143.3,10617.323,1083,167682,2.03,85.9,7.0,0
1993-04-01,143.8,10637.847,1258,172102,2.13,85.6,7.1,0
1993-05-01,144.2,10654.766666666666,1260,172960,2.06,80.3,7.1,0
1993-06-01,144.3,10671.686333333333,1280,173018,1.8,81.5,7.0,0
1993-07-01,144.5,10688.606,1254,175822,1.73,77.0,6.9,0
1993-08-01,144.8,10737.066333333332,1300,175233,1.68,77.3,6.8,0
1993-09-01,145.0,10785.526666666667,1343,176608,1.51,77.9,6.7,0
1993-10-01,145.6,10833.987,1392,177588,1.46,82.7,6.8,0
1993-11-01,146.0,10869.029999999999,1376,179758,1.57,81.2,6.6,0
1993-12-01,146.3,10904.073,1533,181077,1.56,88.2,6.5,0
1994-01-01,146.3,10939.116,1272,179615,1.61,94.3,6.6,0
1994-02-01,146.7,10988.531,1337,183101,1.5,93.2,6.6,0
1994-03-01,147.1,11037.946,1564,186721,1.49,91.5,6.5,0
1994-04-01,147.2,11087.361,1465,186423,1.42,92.6,6.4,0
1994-05-01,147.5,11108.966,1526,185616,1.22,92.8,6.1,0
1994-06-01,147.9,11130.571,1409,187800,1.17,91.2,6.1,0
1994-07-01,148.4,11152.176,1439,188062,1.17,89.0,6.1,0
1994-08-01,149.0,11194.761333333334,1450,190771,1.06,91.7,6.0,0
1994-09-01,149.3,11237.346666666666,1474,192585,1.06,91.5,5.9,0
1994-10-01,149.4,11279.932,1450,193914,1.02,92.7,5.8,0
1994-11-01,149.8,11293.271666666667,1511,194425,0.81,91.6,5.6,0
1994-12-01,150.1,11306.611333333332,1455,194939,0.22,95.1,5.5,0
1995-01-01,150.5,11319.951,1407,195908,0.27,97.6,5.6,0
1995-02-01,150.9,11331.207666666665,1316,193068,0.36,95.1,5.4,0
1995-03-01,151.2,11342.464333333333,1249,195179,0.43,90.3,5.4,0
1995-04-01,151.8,11353.721,1267,195310,0.49,92.5,5.8,0
1995-05-01,152.1,11385.917333333333,1314,198060,0.46,89.8,5.6,0
1995-06-01,152.4,11418.113666666666,1281,200383,0.45,92.7,5.6,0
1995-07-01,152.6,11450.31,1461,199110,0.5,94.4,5.7,0
1995-08-01,152.9,11476.229,1416,201078,0.51,96.2,5.7,0
1995-09-01,153.1,11502.148,1369,201337,0.39,88.9,5.6,0
1995-10-01,153.5,11528.067,1369,200597,0.35,90.2,5.5,0
1995-11-01,153.7,11556.850666666665,1452,203545,0.45,88.2,5.6,0
1995-12-01,153.9,11585.634333333333,1431,204032,0.39,91.0,5.6,0
1996-01-01,154.7,11614.418,1467,203793,0.54,89.3,5.6,0
1996-02-01,155.0,11678.992,1491,206875,0.78,88.5,5.5,0
1996-03-01,155.5,11743.565999999999,1424,207650,0.61,93.7,5.5,0
1996-04-01,156.1,11808.14,1516,209294,0.55,92.7,5.6,0
1996-05-01,156.4,11843.447666666667,1504,211157,0.64,89.4,5.6,0
1996-06-01,156.7,11878.755333333333,1467,209474,0.62,92.4,5.3,0
1996-07-01,157.0,11914.063,1472,210827,0.6,94.7,5.5,0
1996-08-01,157.2,11955.300333333333,1557,210846,0.61,95.3,5.1,0
1996-09-01,157.7,11996.537666666667,1475,213233,0.6,94.7,5.2,0
1996-10-01,158.2,12037.775,1392,215526,0.62,96.5,5.2,0
1996-11-01,158.7,12063.673999999999,1489,215167,0.5,99.2,5.4,0
1996-12-01,159.1,12089.573,1370,215690,0.52,96.9,5.4,0
1997-01-01,159.4,12115.472,1355,218124,0.57,97.4,5.3,0
1997-02-01,159.7,12182.721666666666,1486,219587,0.52,99.7,5.2,0
1997-03-01,159.8,12249.971333333333,1457,221189,0.47,100.0,5.2,0
1997-04-01,159.9,12317.221,1492,217925,0.44,101.4,5.1,0
1997-05-01,159.9,12368.484,1442,217771,0.43,103.2,4.9,0
1997-06-01,160.2,12419.747,1494,220233,0.4,104.5,5.0,0
1997-07-01,160.4,12471.01,1437,222985,0.33,107.1,4.9,0
1997-08-01,160.8,12506.505000000001,1390,223120,0.36,104.4,4.8,0
1997-09-01,161.2,12542.0,1546,224509,0.33,106.0,4.9,0
1997-10-01,161.5,12577.495,1520,224300,0.26,105.6,4.7,0
1997-11-01,161.7,12619.577333333335,1510,223718,0.16,107.2,4.6,0
1997-12-01,161.8,12661.659666666666,1566,225236,0.09,102.1,4.7,0
1998-01-01,162.0,12703.742,1525,225954,0.19,106.6,4.6,0
1998-02-01,162.0,12742.941,1584,225746,0.16,110.4,4.6,0
1998-03-01,162.0,12782.14,1567,226889,0.09,106.5,4.7,0
1998-04-01,162.2,12821.339,1540,230409,0.07,108.7,4.3,0
1998-05-01,162.6,12875.143333333333,1536,230995,0.06,106.5,4.4,0
1998-06-01,162.8,12928.947666666667,1641,233207,-0.02,105.6,4.5,0
1998-07-01,163.2,12982.752,1698,231551,0.0,105.2,4.5,0
1998-08-01,163.4,13052.391333333333,1614,229792,0.07,104.4,4.5,0
1998-09-01,163.5,13122.030666666667,1582,232308,0.14,100.9,4.6,0
1998-10-01,163.9,13191.67,1715,236174,0.44,97.4,4.5,0
1998-11-01,164.1,13232.979,1660,237592,0.29,102.7,4.4,0
1998-12-01,164.4,13274.288,1792,240140,0.14,100.5,4.4,0
1999-01-01,164.7,13315.597,1748,240269,0.11,103.9,4.3,0
1999-02-01,164.7,13352.647333333332,1670,243346,0.12,108.1,4.4,0
1999-03-01,164.8,13389.697666666667,1710,244687,0.18,105.7,4.2,0
1999-04-01,165.9,13426.748,1553,246628,0.21,104.6,4.3,0
1999-05-01,166.0,13486.089,1611,248367,0.29,106.8,4.2,0
1999-06-01,166.0,13545.43,1559,249329,0.28,107.3,4.3,0
1999-07-01,166.7,13604.771,1669,251263,0.24,106.0,4.3,0
1999-08-01,167.1,13679.174,1648,253844,0.26,104.5,4.2,0
1999-09-01,167.8,13753.577,1635,255029,0.25,107.2,4.2,0
1999-10-01,168.1,13827.98,1608,254816,0.25,103.2,4.1,0
1999-11-01,168.4,13844.702333333333,1648,258133,0.17,107.2,4.1,0
1999-12-01,168.8,13861.424666666668,1708,263311,0.17,105.4,4.0,0
2000-01-01,169.3,13878.147,1636,261545,0.22,112.0,4.0,0
2000-02-01,170.0,13962.400666666666,1737,265686,-0.09,111.3,4.1,0
2000-03-01,171.0,14046.654333333334,1604,269019,-0.27,107.1,4.0,0
2000-04-01,170.9,14130.908,1626,264067,-0.41,109.2,3.8,0
2000-05-01,171.2,14135.709333333332,1575,265992,-0.37,110.7,4.0,0
2000-06-01,172.2,14140.510666666667,1559,267750,-0.38,106.4,4.0,0
2000-07-01,172.7,14145.312,1463,265683,-0.29,108.3,4.0,0
2000-08-01,172.7,14173.463,1541,266885,-0.4,107.3,4.1,0
2000-09-01,173.6,14201.614,1507,270523,-0.28,106.8,3.9,0
2000-10-01,173.9,14229.765,1549,270339,-0.17,105.8,3.9,0
2000-11-01,174.2,14214.216666666667,1551,268850,-0.16,107.6,3.9,0
2000-12-01,174.6,14198.668333333333,1532,268338,-0.11,98.4,3.9,0
2001-01-01,175.6,14183.12,1600,272881,0.4,94.7,4.2,0
2001-02-01,176.0,14212.644666666667,1625,272627,0.44,90.6,4.2,0
2001-03-01,176.1,14242.169333333333,1590,269820,0.54,91.5,4.3,0
2001-04-01,176.4,14271.694,1649,274410,0.91,88.4,4.4,1
2001-05-01,177.3,14252.634666666667,1605,275769,1.13,92.0,4.3,1
2001-06-01,177.7,14233.575333333332,1636,274474,1.2,92.6,4.5,1
2001-07-01,177.4,14214.516,1670,273098,1.2,92.4,4.6,1
2001-08-01,177.4,14227.535333333333,1567,275659,1.21,91.5,4.9,1
2001-09-01,178.1,14240.554666666667,1562,268652,1.61,81.8,5.0,1
2001-10-01,177.6,14253.574,1540,288632,1.84,82.7,5.3,1
2001-11-01,177.5,14293.311,1602,280033,1.87,83.9,5.5,1
2001-12-01,177.4,14333.048,1568,276302,1.98,88.8,5.7,0
2002-01-01,177.7,14372.785,1698,277135,2.01,93.0,5.7,0
2002-02-01,178.0,14402.139333333333,1829,278869,1.9,90.7,5.7,0
2002-03-01,178.5,14431.493666666667,1642,278079,1.73,95.7,5.7,0
2002-04-01,179.3,14460.848,1592,281147,1.79,93.0,5.9,0
2002-05-01,179.5,14480.443,1764,278966,1.9,96.9,5.8,0
2002-06-01,179.6,14500.038,1717,280426,1.93,92.4,5.8,0
2002-07-01,180.0,14519.633,1655,284161,2.1,88.1,5.8,0
2002-08-01,180.5,14525.615333333333,1633,285884,2.12,87.6,5.7,0
2002-09-01,180.8,14531.597666666667,1804,281064,1.87,86.1,5.7,0
2002-10-01,181.2,14537.58,1648,282940,2.03,80.6,5.7,0
2002-11-01,181.5,14563.100333333334,1753,283408,2.13,84.2,5.9,0
2002-12-01,181.8,14588.620666666666,1788,286646,2.2,86.7,6.0,0
2003-01-01,182.6,14614.141,1853,288657,2.31,82.4,5.8,0
2003-02-01,183.6,14657.283,1629,284696,2.27,79.9,5.9,0
2003-03-01,183.9,14700.425,1726,288177,2.23,77.6,5.9,0
2003-04-01,183.2,14743.567,1643,289053,2.34,86.0,6.0,0
2003-05-01,182.9,14825.305333333332,1751,289619,2.15,92.1,6.1,0
2003-06-01,183.1,14907.043666666666,1867,293671,2.11,89.7,6.3,0
2003-07-01,183.7,14988.782,1897,296207,2.5,90.9,6.2,0
2003-08-01,184.5,15046.774666666666,1833,299592,2.58,89.3,6.1,0
2003-09-01,185.1,15104.767333333333,1939,298921,2.57,87.7,6.1,0
2003-10-01,184.9,15162.76,1967,298205,2.54,89.6,6.0,0
2003-11-01,185.0,15191.4,2083,299433,2.37,93.7,5.8,0
2003-12-01,185.5,15220.04,2057,300702,2.36,92.6,5.7,0
2004-01-01,186.3,15248.68,1911,301993,2.39,103.8,5.7,0
2004-02-01,186.7,15288.07,1846,303915,2.34,94.4,5.6,0
2004-03-01,187.1,15327.460000000001,1998,309471,2.25,95.8,5.8,0
2004-04-01,187.4,15366.85,2003,307358,2.28,94.2,5.6,0
2004-05-01,188.2,15415.439666666667,1981,311088,2.18,90.2,5.6,0
2004-06-01,188.9,15464.029333333334,1828,309127,1.97,95.6,5.6,0
2004-07-01,189.1,15512.619,2002,311681,1.86,96.7,5.5,0
2004-08-01,189.2,15565.372666666666,2024,311192,1.77,95.9,5.4,0
2004-09-01,189.8,15618.126333333334,1905,317446,1.6,94.2,5.4,0
2004-10-01,190.8,15670.88,2072,318476,1.51,91.7,5.5,0
2004-11-01,191.7,15728.829,1782,320520,1.34,92.8,5.4,0
2004-12-01,191.7,15786.778,2042,324672,1.22,97.1,5.4,0
2005-01-01,191.6,15844.727,2144,321272,1.0,95.5,5.3,0
2005-02-01,192.4,15870.745333333334,2207,325308,0.78,94.1,5.4,0
2005-03-01,193.1,15896.763666666666,1864,326179,0.77,92.6,5.2,0
2005-04-01,193.7,15922.782,2061,329124,0.69,87.7,5.2,0
2005-05-01,193.6,15964.383666666667,2025,327233,0.5,86.9,5.1,0
2005-06-01,193.7,16005.985333333332,2068,337219,0.36,96.0,5.0,0
2005-07-01,194.9,16047.587,2054,339529,0.31,96.5,5.0,0
2005-08-01,196.1,16077.302666666666,2095,335605,0.22,89.1,4.9,0
2005-09-01,198.8,16107.018333333333,2151,336600,0.25,76.9,5.0,0
2005-10-01,199.1,16136.734,2065,336753,0.19,74.2,5.0,0
2005-11-01,198.1,16209.101,2147,339719,0.12,81.6,5.0,0
2005-12-01,198.1,16281.467999999999,1994,339895,0.06,91.5,4.9,0
2006-01-01,199.3,16353.835,2273,349664,0.02,91.2,4.7,0
2006-02-01,199.4,16367.940333333334,2119,347021,-0.1,86.7,4.8,0
2006-03-01,199.7,16382.045666666667,1969,348357,-0.01,88.9,4.7,0
2006-04-01,200.7,16396.151,1821,350072,0.1,87.4,4.7,0
2006-05-01,201.3,16404.346666666668,1942,348889,0.14,79.1,4.6,0
2006-06-01,201.8,16412.542333333335,1802,350795,-0.02,84.9,4.6,0
2006-07-01,202.9,16420.738,1737,351916,-0.03,84.7,4.7,0
2006-08-01,203.8,16467.78066666667,1650,353285,-0.03,82.0,4.7,0
2006-09-01,202.8,16514.823333333334,1720,351240,-0.05,85.4,4.5,0
2006-10-01,201.9,16561.866,1491,351035,-0.07,93.6,4.4,0
2006-11-01,202.0,16578.474000000002,1570,352116,-0.15,92.1,4.5,0
2006-12-01,203.1,16595.082,1649,356367,-0.11,91.7,4.4,0
2007-01-01,203.437,16611.69,1409,355792,-0.12,96.9,4.6,0
2007-02-01,204.226,16645.564666666665,1480,356545,-0.13,91.3,4.5,0
2007-03-01,205.288,16679.439333333332,1495,359415,-0.01,88.4,4.4,0
2007-04-01,205.904,16713.314,1490,358562,0.03,87.1,4.5,0
2007-05-01,206.755,16745.405,1415,363085,-0.02,88.3,4.4,0
2007-06-01,207.234,16777.496,1448,360234,0.12,85.3,4.6,0
2007-07-01,207.603,16809.587,1354,361770,0.19,90.4,4.7,0
2007-08-01,207.667,16844.788333333334,1330,363676,0.36,83.4,4.6,0
2007-09-01,208.547,16879.989666666665,1183,365178,0.51,83.4,4.7,0
2007-10-01,209.19,16915.191,1264,367322,0.56,80.9,4.7,0
2007-11-01,210.834,16891.128333333334,1197,370776,0.81,76.1,4.7,0
2007-12-01,211.445,16867.065666666665,1037,366569,0.98,75.5,5.0,0
2008-01-01,212.174,16843.003,1084,367368,1.27,78.4,5.0,1
2008-02-01,212.687,16876.432333333334,1103,364126,1.76,70.8,4.9,1
2008-03-01,213.448,16909.861666666668,1005,365164,1.89,69.5,5.1,1
2008-04-01,213.942,16943.291,1013,364816,1.63,62.6,5.0,1
2008-05-01,215.208,16913.625666666667,973,368255,1.43,59.8,5.4,1
2008-06-01,217.463,16883.960333333333,1046,368926,1.33,56.4,5.6,1
2008-07-01,219.016,16854.295,923,367594,1.43,61.2,5.8,1
2008-08-01,218.69,16731.31333333333,844,364611,1.47,63.0,6.1,1
2008-09-01,218.877,16608.331666666665,820,358991,1.61,70.3,6.1,1
2008-10-01,216.995,16485.35,777,346137,2.2,57.6,6.5,1
2008-11-01,213.153,16422.98733333333,652,332498,2.31,55.3,6.8,1
